participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
065,cue,control,absent,0,0.012001066666666666,0.85,0.0018001599999999999,0.001758898110365269,0.8905,0.016986496992993032,simple
065,cue,control,high,0.02313960762711664,0.0215962972972973,0.26,0.01598126,0.019580855246682478,0.26444999999999996,0.026699028192290187,simple
065,cue,control,low,0.0178986865063128,0.023673916666666666,0.76,0.00568174,0.013991627281809716,0.42152500000000004,0.024329499206995973,simple
065,cue,present,absent,0,0.01879535714285714,0.86,0.00263135,0.0016987870454861376,0.893625,0.016931519092977312,simple
065,cue,present,high,0.02313960762711664,0.026181770833333333,0.04,0.0251345,0.019466167044856573,0.2659,0.026594628537809004,simple
065,cue,present,low,0.0178986865063128,0.026546942857142857,0.3,0.01858286,0.013953327129889037,0.42245,0.024316975401879177,simple
066,cue,control,absent,0,0.0091278,0.95,4.5639e-4,9.813604825749005e-4,0.95855,0.0238645052392285,simple
066,cue,control,high,0.0348989000829103,0.03602397826086957,0.08,0.03314206,0.03374604545384658,0.183875,0.04134984715182798,simple
066,cue,control,low,0.01740875026586029,0.02690925,0.92,0.00215274,0.010060707250415971,0.6878,0.03224514182127732,simple
066,cue,present,absent,0,0.0018635,0.98,3.727e-5,9.848694556698272e-4,0.9581500000000001,0.02365618299571351,simple
066,cue,present,high,0.0348989000829103,0.050600714285714284,0.02,0.0495887,0.03371165643154272,0.18257500000000004,0.0412425285633928,simple
066,cue,present,low,0.01740875026586029,0.02812007142857143,0.72,0.00787362,0.009875499735871108,0.6939,0.03227881971282397,simple
067,cue,control,absent,0,0.013699533333333333,0.7,0.00410986,0.004937457055502226,0.79735,0.02450169234465844,simple
067,cue,control,high,0.02772375100195255,0.03418615789473684,0.24,0.02598148,0.03489079948241569,0.09042499999999998,0.0383627841173701,simple
067,cue,control,low,0.00819868968013609,0.02035775,0.84,0.00325724,0.01226686188167078,0.566675,0.028357937445955154,simple
067,cue,present,absent,0,0.029337676470588235,0.66,0.00997481,0.005031519884997087,0.794225,0.02458233801429668,simple
067,cue,present,high,0.02772375100195255,0.04723781632653061,0.02,0.046293060000000004,0.0349456778215717,0.08930000000000005,0.0383773075702056,simple
067,cue,present,low,0.00819868968013609,0.024400761904761904,0.58,0.01024832,0.012326529285327998,0.56475,0.028373613109432354,simple
068,cue,control,absent,0,0.002154,0.99,2.154e-5,6.805118350111975e-4,0.97545,0.02777161814798737,simple
068,cue,control,high,0.02897619528553714,0.03816794285714286,0.3,0.02671756,0.023310390256384258,0.467175,0.04374928340871418,simple
068,cue,control,low,0.02093082130274615,0.03211083333333333,0.88,0.0038533,0.011374473893230768,0.71295,0.039627256453169446,simple
068,cue,present,high,0.02897619528553714,0.05348497297297297,0.26,0.039578880000000004,0.023277872106137423,0.468375,0.04378709532719294,simple
068,cue,present,low,0.02093082130274615,0.031736,0.9,0.0031736,0.01127773233449271,0.714125,0.039454032217727794,simple
069,cue,control,absent,0,0.018615619047619048,0.79,0.00390928,0.004641759129703498,0.780925,0.021460777534323218,simple
069,cue,control,high,0.02002703296823366,0.020640925925925927,0.46,0.011146099999999999,0.024378080976941805,0.20362499999999994,0.030639707042695044,simple
069,cue,control,low,0.01362661223797195,0.019829625,0.68,0.00634548,0.01731503877508292,0.369225,0.027509005491974388,simple
069,cue,present,absent,0,0.024919102040816328,0.51,0.01221036,0.0045739733132509645,0.782075,0.021278698374233105,simple
069,cue,present,high,0.02002703296823366,0.033589229166666665,0.04,0.03224566,0.024418678330235297,0.20255,0.03065010205488787,simple
069,cue,present,low,0.01362661223797195,0.027823272727272728,0.34,0.01836336,0.017331714439975075,0.36802500000000005,0.027485357468386762,simple
070,cue,control,high,0.03442843199000103,0.03657307142857143,0.16,0.03072138,0.03512675517688252,0.17054999999999998,0.04235013488768358,simple
070,cue,control,low,0.03003365914082899,0.03575896875,0.36,0.02288574,0.029279228118915656,0.26827500000000004,0.04001549821455251,simple
070,cue,present,absent,0,0.012606666666666667,0.97,3.7820000000000003e-4,0.0012120646074563791,0.950125,0.024435766838183912,simple
070,cue,present,high,0.03442843199000103,0.04770327659574468,0.06,0.04484108,0.03498316286378579,0.17072500000000002,0.04218597952307932,simple
070,cue,present,low,0.03003365914082899,0.04406730952380952,0.16,0.03701654,0.029336235066245248,0.26695,0.04002210492676132,simple
071,cue,control,absent,0,0.00889525,0.72,0.00249067,7.402620570921504e-4,0.917575,0.012635261758110892,simple
071,cue,control,high,0.03739956235939471,0.019974666666666665,0.1,0.0179772,0.024488740325093225,0.07097500000000001,0.02644334321320231,simple
071,cue,control,low,0.02948892478095431,0.01699389189189189,0.26,0.01257548,0.018687964089226,0.1734,0.02282100048823826,simple
071,cue,present,absent,0,0.012950416666666667,0.88,0.00155405,7.381769556010629e-4,0.919225,0.012611811263288511,simple
071,cue,present,high,0.03739956235939471,0.026842955555555555,0.1,0.02415866,0.024448746024649453,0.07062500000000005,0.026395416256100257,simple
071,cue,present,low,0.02948892478095431,0.02669371794871795,0.22,0.0208211,0.018690029496488174,0.17225000000000001,0.02278459592979654,simple
072,cue,control,absent,0,0.012813166666666667,0.94,7.6879e-4,7.721626664184665e-4,0.947325,0.015853583967444705,simple
072,cue,control,high,0.02226735659610731,0.02092116,0.5,0.01046058,0.012983307031897968,0.46975,0.02461935073759692,simple
