participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
065,cue,control,absent,0,0.04557019385633692,0.29,0.03235483763799921,0.015118483295104249,0.55125,0.03382612572724577,full
065,cue,control,high,0.04070563027418321,0.04414334322344524,0.14,0.03796327517216291,0.055273447294598425,0.013375000000000026,0.05602403227244165,full
065,cue,control,low,0.02171207978168478,0.03525087415735081,0.38,0.021855541977557503,0.04078874714666634,0.09865000000000002,0.04527109154149687,full
065,cue,present,absent,0,0.032499806720336887,0.69,0.010074940083304434,0.0080370912742623,0.783075,0.03711511894800959,full
065,cue,present,high,0.04070563027418321,0.06971015608289419,0.06,0.06552754671792053,0.06465415657254851,0.020000000000000018,0.06597362915566174,full
065,cue,present,low,0.02171207978168478,0.049067259818964606,0.4,0.029440355891378764,0.04239502947720977,0.18769999999999998,0.05219577261388007,full
066,cue,control,absent,0,0.018746829182565723,0.21,0.01480999505422692,0.008145269439652526,0.47465,0.01858079202523485,full
066,cue,control,high,0.03347301560183211,0.024469800903732925,0.06,0.023001612849508947,0.030355479753019964,0.04312499999999997,0.03194157130323837,full
066,cue,control,low,0.02285751445655291,0.018152321146366158,0.2,0.014521856917092926,0.023919302651062322,0.10097500000000004,0.027130662122190872,full
066,cue,present,absent,0,0.02015071730566632,0.06,0.018941674267326344,0.00925709874057589,0.35677499999999995,0.017881795167116653,full
066,cue,present,high,0.03347301560183211,0.022607051400011968,0.02,0.02215491037201173,0.035154728907984524,0.018100000000000005,0.035901194251288245,full
066,cue,present,low,0.02285751445655291,0.02158768693594521,0.06,0.020292425719788496,0.027376402061776578,0.056599999999999984,0.029372992014695096,full
067,cue,control,absent,0,0.03835793968263718,0.95,0.001917896984131859,0.0011992776641828662,0.9578,0.02890109277541406,full
067,cue,control,high,0.03959001946413527,0.04734662714282495,0.18,0.03882423425711646,0.037638076652947994,0.22255000000000003,0.04842500743008302,full
067,cue,control,low,0.02590428602324528,0.03834843845587394,0.66,0.01303846907499714,0.01778989907084483,0.56175,0.040634167804080086,full
067,cue,present,absent,0,0.03897282145889275,0.8,0.00779456429177855,0.004647326184300906,0.879,0.03850130303809917,full
067,cue,present,high,0.03959001946413527,0.06765723264117429,0,0.06765723264117429,0.0635271774142311,0.047250000000000014,0.06667773097060982,full
067,cue,present,low,0.02590428602324528,0.0550078505547843,0.38,0.03410486734396627,0.044508350495535615,0.21642499999999998,0.05680335421291509,full
068,cue,control,high,0.02862112597642349,0.04369335139177819,0.34,0.028837611918573605,0.02919230668190988,0.35209999999999997,0.04507774885232595,full
068,cue,control,low,0.02532899046394353,0.03852758233277022,0.3,0.02696930763293915,0.024013535890345918,0.44220000000000004,0.04307531019830689,full
068,cue,present,absent,0,0.0876856487814822,0.99,8.76856487814822e-4,0.007426271482782289,0.901525,0.0754127594088072,full
068,cue,present,high,0.02862112597642349,0.0953149734517093,0.12,0.0838771766375042,0.07715600716858746,0.200025,0.09644802296145187,full
068,cue,present,low,0.02532899046394353,0.098666500212637,0.18,0.08090653017436233,0.06833600850709211,0.27325,0.094029595468995,full
069,cue,control,absent,0,0.006614173228346457,0.98,1.3228346456692914e-4,0.0013159688145006853,0.943525,0.024368904588288144,full
069,cue,control,high,0.03174777856661728,0.03830548042327622,0.18,0.031410493947086504,0.02675198710380014,0.31894999999999996,0.03933241577330835,full
069,cue,control,low,0.02608546044989338,0.03797368381616132,0.52,0.018227368231757433,0.01926479475150412,0.46909999999999996,0.03638540904918687,full
069,cue,present,absent,0,0.040553581307713304,0.92,0.003244286504617064,0.002330603136790249,0.916225,0.028307961105905333,full
069,cue,present,high,0.03174777856661728,0.04726926717405073,0.08,0.04348772580012667,0.04138811864190517,0.16180000000000005,0.04938563334114041,full
069,cue,present,low,0.02608546044989338,0.04397407137013789,0.34,0.029022887104291007,0.03247018958889913,0.28005,0.045115818128233294,full
070,cue,control,absent,0,0.029679997897633793,0.99,2.967999789763379e-4,6.280869023223796e-4,0.9745,0.02538851632565882,full
070,cue,control,high,0.02962259158463034,0.0388758052487481,0.46,0.020992934834323972,0.016170730568728545,0.585975,0.0391094054566056,full
070,cue,control,low,0.02263759022882662,0.0369923501938318,0.9,0.00369923501938318,0.008617769599338432,0.7556499999999999,0.03538005833219113,full
070,cue,present,absent,0,0.03004944787608134,0.89,0.003305439266368947,0.0021047822918154983,0.913675,0.02521101713865559,full
070,cue,present,high,0.02962259158463034,0.042953789680785864,0.1,0.03865841071270728,0.03556870299765129,0.1925,0.04406825373567278,full
