participant,bias_source,cond,contrast_level,stim,response_non_zero,prop_zero,response,response_pred,hurdle_prob,response_pred_non_zero,model_name
171,payoff,control,absent,0,0.006614173228346457,0.99,6.614173228346457e-5,0.003910198215950867,0.8555,0.027130532746273268,full
171,payoff,control,high,0.03773360745454744,0.04435044071198913,0.02,0.04346343189774935,0.03696912712324276,0.1583,0.043924245152305356,full
171,payoff,control,low,0.02988741767213213,0.03996099072123649,0.12,0.03516567183468811,0.02918095369686363,0.27732500000000004,0.04038474534916673,full
171,payoff,present,absent,0,0.021206132329443038,0.96,8.482452931777215e-4,0.0056279251074080015,0.80575,0.029052712702814176,full
171,payoff,present,high,0.03773360745454744,0.046658324679369874,0,0.046658324679369874,0.03676201207556072,0.19032499999999997,0.0454047650216826,full
171,payoff,present,low,0.02988741767213213,0.04139763944740986,0.2,0.03311811155792789,0.029392655793895786,0.297925,0.04186688017670333,full
172,payoff,control,high,0.0302171601664719,0.038853651997881426,0.08,0.03574535983805091,0.027207485948524603,0.311175,0.039505766168969426,full
172,payoff,control,low,0.02421883387495452,0.03735995173784549,0.4,0.022415971042707296,0.020757238772442926,0.435825,0.03680200211722763,full
172,payoff,present,absent,0,0.02488695192394763,0.94,0.0014932171154368578,0.004449403251863622,0.8296749999999999,0.02626188435982759,full
172,payoff,present,high,0.0302171601664719,0.039113038423313144,0.08,0.03598399534944809,0.026499232674956213,0.32582500000000003,0.03931231785369916,full
172,payoff,present,low,0.02421883387495452,0.03650417693175828,0.46,0.01971225554314947,0.0208919176715712,0.42832499999999996,0.036563371806074885,full
173,payoff,control,absent,0,0.020906216438755305,0.66,0.007108113589176804,0.005684900378012259,0.712475,0.020367161887246753,full
173,payoff,control,high,0.02689788278976395,0.030336076340882707,0.06,0.028515911760429745,0.025269202507168537,0.175025,0.030681315100917834,full
173,payoff,control,low,0.01966816598411954,0.024113052527540275,0.38,0.01495009256707497,0.01971175901148335,0.28474999999999995,0.0276757087668065,full
173,payoff,present,absent,0,0.014966163955108556,0.59,0.006136127221594507,0.005390612736680877,0.67525,0.01768629004239472,full
173,payoff,present,high,0.02689788278976395,0.027413287904519055,0.08,0.02522022487215753,0.021782131929182737,0.19822499999999998,0.027276125417032424,full
173,payoff,present,low,0.01966816598411954,0.019601493622118382,0.46,0.010584806555943927,0.016819361971292954,0.30022499999999996,0.024267020087684922,full
174,payoff,control,absent,0,0.018918936631403586,0.96,7.567574652561436e-4,0.001549423359994318,0.90885,0.01800991970319327,full
174,payoff,control,high,0.03416761380707832,0.029792648921290264,0.16,0.025025825093883822,0.022180737595814577,0.28064999999999996,0.030897340884355712,full
174,payoff,control,low,0.02749035848079651,0.0281783802166771,0.4,0.01690702813000626,0.016377744685405825,0.41905000000000003,0.02828305579150838,full
174,payoff,present,absent,0,0.011116127448218847,0.75,0.002779031862054712,0.0023295036445308013,0.831825,0.01572552896206687,full
174,payoff,present,high,0.03416761380707832,0.02679097246775199,0.14,0.02304023632226671,0.020788646607528737,0.23414999999999997,0.02726369856822476,full
174,payoff,present,low,0.02749035848079651,0.022079096648177914,0.46,0.011922712190016074,0.016136855452407218,0.340325,0.024684484250234822,full
175,payoff,control,absent,0,0.021803902002551303,0.77,0.0050148974605867995,0.002543396812030015,0.882875,0.022100432638749567,full
175,payoff,control,high,0.02707583026716968,0.029337241961107225,0.42,0.01701560033744219,0.020350826525127708,0.37602500000000005,0.032647409595527706,full
175,payoff,control,low,0.02302889179362837,0.030906222027013538,0.62,0.011744364370265145,0.01655630563840697,0.4669,0.03109896705358132,full
175,payoff,present,absent,0,0.02580231029242323,0.67,0.008514762396499665,0.006438076962004339,0.759275,0.026875458108666234,full
175,payoff,present,high,0.02707583026716968,0.03967651393538827,0.24,0.030154150590895087,0.027398229251630678,0.28559999999999997,0.03835864191779848,full
175,payoff,present,low,0.02302889179362837,0.036208114394640334,0.56,0.01593157033364175,0.02369909972406662,0.35187500000000005,0.03657928728146246,full
176,payoff,control,absent,0,0.018881729690568783,0.86,0.0026434421566796295,0.005893138233625003,0.79605,0.028985288970277884,full
176,payoff,control,high,0.02830315609521468,0.04709534268290967,0.06,0.044269622121935095,0.03169235651992012,0.231425,0.041239157421042234,full
176,payoff,control,low,0.02086944517056452,0.03507860578837815,0.38,0.021748735588794456,0.023661996857386465,0.376575,0.037964676698769406,full
176,payoff,present,absent,0,0.013826024836571683,0.83,0.002350424222217186,0.005098744632202192,0.763825,0.02198552978843763,full
176,payoff,present,high,0.02830315609521468,0.03592866588343288,0.06,0.03377294593042691,0.024405763672012644,0.26515,0.03324147038174214,full
176,payoff,present,low,0.02086944517056452,0.026635400124220103,0.44,0.014915824069563257,0.018333651523131236,0.38765000000000005,0.0299997842126839,full
177,payoff,control,absent,0,0.022940145246268067,0.58,0.009634861003432589,0.00782621748732074,0.647525,0.022552681429898344,full
177,payoff,control,high,0.02449585206086462,0.031431755972181785,0.18,0.02577403989718906,0.027121278942025307,0.15907499999999997,0.03228486065756461,full
177,payoff,control,low,0.02062924893451535,0.02892585117141617,0.26,0.021405129866847963,0.02417473687089269,0.21350000000000002,0.03078462144498337,full
177,payoff,present,absent,0,0.02079387533804093,0.39,0.012684263956204967,0.010862330345812887,0.44142499999999996,0.02009467480702713,full
177,payoff,present,high,0.02449585206086462,0.02629289693579258,0.02,0.025767038997076726,0.026082433639813933,0.10302500000000003,0.02915188804109163,full
177,payoff,present,low,0.02062924893451535,0.024659803971851496,0.14,0.021207431415792285,0.023899664172654243,0.13242500000000001,0.02765408238197912,full
178,payoff,control,absent,0,0.0461850970595475,0.89,0.005080360676550225,0.002028476480313586,0.953475,0.043599709410286645,full
178,payoff,control,high,0.03045133974791285,0.05927160463141608,0.56,0.026079506037823073,0.02447244184748813,0.576325,0.057762298571990625,full
178,payoff,control,low,0.02639828962276104,0.06277496914204042,0.84,0.010043995062726468,0.018856680472443904,0.6626000000000001,0.05588820531251898,full
178,payoff,present,absent,0,0.022761238140920778,0.8,0.0045522476281841555,0.003024764203634079,0.89985,0.030259270983833277,full
178,payoff,present,high,0.03045133974791285,0.0451694601581749,0.58,0.018971173266433456,0.02362520181386361,0.461375,0.043863756817527313,full
178,payoff,present,low,0.02639828962276104,0.04358244333585707,0.62,0.016561328467625685,0.019208959350759246,0.5424,0.04198077220430431,full
179,payoff,control,absent,0,0.019827869604116907,0.95,9.913934802058453e-4,0.002706105718428335,0.87615,0.022214918045676244,full
179,payoff,control,high,0.03306483042252294,0.03605158255305014,0.1,0.03244642429774512,0.02706420004995608,0.2459,0.035902766214961766,full
179,payoff,control,low,0.02709727566444702,0.031725817999023215,0.34,0.020939039879355324,0.021282500590371976,0.35955000000000004,0.033259007394744404,full
179,payoff,present,absent,0,0.023520036956547245,0.91,0.002116803326089252,0.005466161259619618,0.7764,0.024667217088061827,full
179,payoff,present,high,0.03306483042252294,0.03929898423119737,0,0.03929898423119737,0.030290338438480436,0.21267499999999995,0.03847938992143867,full
179,payoff,present,low,0.02709727566444702,0.035248772858728274,0.22,0.027494042829808052,0.025260026565722835,0.29452500000000004,0.0358195694689054,full
181,payoff,control,absent,0,0.03747172798803378,0.45,0.02060945039341858,0.01122377954020654,0.6437999999999999,0.03155947958305918,full
