parameter,rhat,experiment,condition,model_name
b_Intercept,1.006667329582847,exp1,payoff,simple
b_hu_Intercept,1.005137757576173,exp1,payoff,simple
b_stim,1.000065229902447,exp1,payoff,simple
b_hu_stim,1.0001371983014913,exp1,payoff,simple
sd_participant__Intercept,1.001612620701978,exp1,payoff,simple
sd_participant__hu_Intercept,1.0010054462608802,exp1,payoff,simple
sigma,1.00022495299833,exp1,payoff,simple
Intercept,1.0068911773754958,exp1,payoff,simple
Intercept_hu,1.0055091054566432,exp1,payoff,simple
"r_participant[171,Intercept]",1.0051817783578982,exp1,payoff,simple
"r_participant[172,Intercept]",1.0045063855687104,exp1,payoff,simple
"r_participant[173,Intercept]",1.0052201151228621,exp1,payoff,simple
"r_participant[174,Intercept]",1.0044648173236472,exp1,payoff,simple
"r_participant[175,Intercept]",1.004498202314344,exp1,payoff,simple
"r_participant[176,Intercept]",1.0048037228783209,exp1,payoff,simple
"r_participant[177,Intercept]",1.005268700996648,exp1,payoff,simple
"r_participant[178,Intercept]",1.0033809826975801,exp1,payoff,simple
"r_participant[179,Intercept]",1.0047327289050858,exp1,payoff,simple
"r_participant[181,Intercept]",1.0053179964376342,exp1,payoff,simple
"r_participant[182,Intercept]",1.003918701889208,exp1,payoff,simple
"r_participant[183,Intercept]",1.0044398268352996,exp1,payoff,simple
"r_participant[184,Intercept]",1.0037134087369497,exp1,payoff,simple
"r_participant[185,Intercept]",1.00434997793112,exp1,payoff,simple
"r_participant[186,Intercept]",1.0044386667325853,exp1,payoff,simple
"r_participant[187,Intercept]",1.0053565508778035,exp1,payoff,simple
"r_participant[188,Intercept]",1.0045894418006935,exp1,payoff,simple
"r_participant[189,Intercept]",1.0038300666103919,exp1,payoff,simple
"r_participant[190,Intercept]",1.0042887487550005,exp1,payoff,simple
"r_participant[191,Intercept]",1.0050423035220326,exp1,payoff,simple
"r_participant[192,Intercept]",1.0047388236994892,exp1,payoff,simple
"r_participant[193,Intercept]",1.0037627886758074,exp1,payoff,simple
"r_participant[195,Intercept]",1.0048976586965706,exp1,payoff,simple
"r_participant[196,Intercept]",1.0045947166507319,exp1,payoff,simple
"r_participant[197,Intercept]",1.0052086079936666,exp1,payoff,simple
"r_participant[198,Intercept]",1.0041639110408365,exp1,payoff,simple
"r_participant[199,Intercept]",1.0046672463727326,exp1,payoff,simple
"r_participant[200,Intercept]",1.004753694166184,exp1,payoff,simple
"r_participant[201,Intercept]",1.0048426472113565,exp1,payoff,simple
"r_participant[202,Intercept]",1.0043077572533747,exp1,payoff,simple
"r_participant[203,Intercept]",1.0053447991893867,exp1,payoff,simple
"r_participant[204,Intercept]",1.0045704071736752,exp1,payoff,simple
"r_participant[206,Intercept]",1.0026947048589263,exp1,payoff,simple
"r_participant[207,Intercept]",1.0038369451491755,exp1,payoff,simple
"r_participant[208,Intercept]",1.0045887299869942,exp1,payoff,simple
"r_participant[209,Intercept]",1.0043881854337735,exp1,payoff,simple
"r_participant[210,Intercept]",1.0049749426251526,exp1,payoff,simple
"r_participant[211,Intercept]",1.0047030815755629,exp1,payoff,simple
"r_participant[212,Intercept]",1.0047855072793368,exp1,payoff,simple
"r_participant[213,Intercept]",1.0050271711036167,exp1,payoff,simple
"r_participant[214,Intercept]",1.0041391204072412,exp1,payoff,simple
"r_participant[215,Intercept]",1.0043353068035432,exp1,payoff,simple
"r_participant[216,Intercept]",1.0051088627674458,exp1,payoff,simple
"r_participant[217,Intercept]",1.0032952392347148,exp1,payoff,simple
"r_participant[218,Intercept]",1.0046249406672945,exp1,payoff,simple
