parameter,rhat,experiment,condition,model_name
"r_participant[151,Intercept]",1.000008374253687,exp1,cue,full
"r_participant[152,Intercept]",1.000181716944556,exp1,cue,full
"r_participant[153,Intercept]",1.0000372503496648,exp1,cue,full
"r_participant[154,Intercept]",1.0001049850117014,exp1,cue,full
"r_participant[155,Intercept]",1.0000988261335024,exp1,cue,full
"r_participant[156,Intercept]",1.000070320841444,exp1,cue,full
"r_participant[157,Intercept]",1.0000852100848951,exp1,cue,full
"r_participant[158,Intercept]",1.0002319097616925,exp1,cue,full
"r_participant[159,Intercept]",1.0001140442367011,exp1,cue,full
"r_participant[160,Intercept]",1.0001636579829076,exp1,cue,full
"r_participant[161,Intercept]",1.0000655198198243,exp1,cue,full
"r_participant[162,Intercept]",1.0002583732966832,exp1,cue,full
"r_participant[163,Intercept]",1.000045212179665,exp1,cue,full
"r_participant[164,Intercept]",1.0002600918057438,exp1,cue,full
"r_participant[165,Intercept]",1.000110362932168,exp1,cue,full
"r_participant[166,Intercept]",1.0002258147685827,exp1,cue,full
"r_participant[167,Intercept]",1.0000565725163766,exp1,cue,full
"r_participant[168,Intercept]",1.0001658920294119,exp1,cue,full
"r_participant[169,Intercept]",1.0001397945705457,exp1,cue,full
"r_participant[170,Intercept]",1.0002186381397022,exp1,cue,full
"r_participant[065,condpresent]",1.0000854929110325,exp1,cue,full
"r_participant[066,condpresent]",1.0000960168313655,exp1,cue,full
"r_participant[067,condpresent]",1.0000326695469908,exp1,cue,full
"r_participant[068,condpresent]",1.00006006234683,exp1,cue,full
"r_participant[069,condpresent]",1.0000289179405728,exp1,cue,full
"r_participant[070,condpresent]",1.000015487469923,exp1,cue,full
"r_participant[071,condpresent]",1.000045286967083,exp1,cue,full
"r_participant[072,condpresent]",1.0000043092703994,exp1,cue,full
"r_participant[073,condpresent]",1.0001162993616501,exp1,cue,full
"r_participant[074,condpresent]",1.0000579862641763,exp1,cue,full
"r_participant[075,condpresent]",1.0001018698992845,exp1,cue,full
"r_participant[076,condpresent]",1.0000643871313717,exp1,cue,full
"r_participant[077,condpresent]",1.0001097186598031,exp1,cue,full
"r_participant[078,condpresent]",1.000033790439154,exp1,cue,full
"r_participant[079,condpresent]",1.0000516591656003,exp1,cue,full
"r_participant[080,condpresent]",1.0000937478512806,exp1,cue,full
"r_participant[081,condpresent]",1.0000292583512942,exp1,cue,full
"r_participant[082,condpresent]",1.000020875945597,exp1,cue,full
"r_participant[083,condpresent]",1.0000278891033494,exp1,cue,full
"r_participant[084,condpresent]",1.0001063778232158,exp1,cue,full
"r_participant[085,condpresent]",1.0000947233138673,exp1,cue,full
"r_participant[086,condpresent]",1.0001777734480268,exp1,cue,full
"r_participant[087,condpresent]",1.0000528531450743,exp1,cue,full
"r_participant[088,condpresent]",1.0000636044166749,exp1,cue,full
"r_participant[089,condpresent]",1.000022989998718,exp1,cue,full
"r_participant[090,condpresent]",1.0000253793667417,exp1,cue,full
"r_participant[091,condpresent]",1.0000417243584252,exp1,cue,full
"r_participant[092,condpresent]",1.0000741912409339,exp1,cue,full
"r_participant[093,condpresent]",1.000015212175349,exp1,cue,full
"r_participant[095,condpresent]",0.9999498605964019,exp1,cue,full
"r_participant[096,condpresent]",0.9999815502916202,exp1,cue,full
"r_participant[097,condpresent]",0.9999931102483215,exp1,cue,full
"r_participant[098,condpresent]",1.0000208953465077,exp1,cue,full
"r_participant[099,condpresent]",1.0000896084178488,exp1,cue,full
