parameter,rhat,experiment,condition,model_name
b_Intercept,1.004672405986034,exp2,baserate,simple
b_hu_Intercept,1.0048109259021922,exp2,baserate,simple
b_stim,1.0001521561646338,exp2,baserate,simple
b_hu_stim,1.000129556452098,exp2,baserate,simple
sd_participant__Intercept,1.002380505243311,exp2,baserate,simple
sd_participant__hu_Intercept,1.0020203286860332,exp2,baserate,simple
sigma,0.9999953624485813,exp2,baserate,simple
Intercept,1.0048326521811721,exp2,baserate,simple
Intercept_hu,1.0052612849161238,exp2,baserate,simple
"r_participant[001,Intercept]",1.0034478531248119,exp2,baserate,simple
"r_participant[002,Intercept]",1.003741454260182,exp2,baserate,simple
"r_participant[003,Intercept]",1.0026846697882876,exp2,baserate,simple
"r_participant[004,Intercept]",1.0030531578021018,exp2,baserate,simple
"r_participant[005,Intercept]",1.0025877140946216,exp2,baserate,simple
"r_participant[006,Intercept]",1.0030104962189341,exp2,baserate,simple
"r_participant[007,Intercept]",1.0028048783895127,exp2,baserate,simple
"r_participant[008,Intercept]",1.002629527916328,exp2,baserate,simple
"r_participant[009,Intercept]",1.0027448603851072,exp2,baserate,simple
"r_participant[010,Intercept]",1.0027722848905625,exp2,baserate,simple
"r_participant[011,Intercept]",1.0033958129007516,exp2,baserate,simple
"r_participant[012,Intercept]",1.003047984035516,exp2,baserate,simple
"r_participant[013,Intercept]",1.0028900787429875,exp2,baserate,simple
"r_participant[014,Intercept]",1.0026785769592796,exp2,baserate,simple
"r_participant[015,Intercept]",1.0031066331154812,exp2,baserate,simple
"r_participant[016,Intercept]",1.0026948142730978,exp2,baserate,simple
"r_participant[017,Intercept]",1.0032419659975762,exp2,baserate,simple
"r_participant[018,Intercept]",1.003123742629921,exp2,baserate,simple
"r_participant[019,Intercept]",1.002840351666608,exp2,baserate,simple
"r_participant[020,Intercept]",1.002104211829195,exp2,baserate,simple
"r_participant[021,Intercept]",1.002042900552914,exp2,baserate,simple
"r_participant[022,Intercept]",1.002270371869247,exp2,baserate,simple
"r_participant[023,Intercept]",1.0032825070257343,exp2,baserate,simple
"r_participant[024,Intercept]",1.0035396165737358,exp2,baserate,simple
"r_participant[026,Intercept]",1.0030403717463818,exp2,baserate,simple
"r_participant[027,Intercept]",1.003476054442952,exp2,baserate,simple
"r_participant[029,Intercept]",1.002778987526151,exp2,baserate,simple
"r_participant[030,Intercept]",1.0028147504027696,exp2,baserate,simple
"r_participant[031,Intercept]",1.0029924648028206,exp2,baserate,simple
"r_participant[033,Intercept]",1.0029415013748912,exp2,baserate,simple
"r_participant[034,Intercept]",1.0033687048233797,exp2,baserate,simple
"r_participant[036,Intercept]",1.0027129018841991,exp2,baserate,simple
"r_participant[037,Intercept]",1.0029185178745923,exp2,baserate,simple
"r_participant[038,Intercept]",1.0029345009393134,exp2,baserate,simple
"r_participant[039,Intercept]",1.0029373886414605,exp2,baserate,simple
"r_participant[041,Intercept]",1.0026833243493432,exp2,baserate,simple
"r_participant[042,Intercept]",1.0020796467108684,exp2,baserate,simple
"r_participant[043,Intercept]",1.002653203321367,exp2,baserate,simple
"r_participant[044,Intercept]",1.0033829362006017,exp2,baserate,simple
"r_participant[045,Intercept]",1.0032723998851518,exp2,baserate,simple
"r_participant[046,Intercept]",1.0030929592028166,exp2,baserate,simple
"r_participant[047,Intercept]",1.0026639808841504,exp2,baserate,simple
"r_participant[048,Intercept]",1.002958366772075,exp2,baserate,simple
"r_participant[050,Intercept]",1.0027076113838491,exp2,baserate,simple
"r_participant[051,Intercept]",1.003459814378318,exp2,baserate,simple
"r_participant[052,Intercept]",1.0035398586057498,exp2,baserate,simple
"r_participant[053,Intercept]",1.0026080055898017,exp2,baserate,simple
"r_participant[054,Intercept]",1.0025633365206383,exp2,baserate,simple
"r_participant[055,Intercept]",1.0026843534349577,exp2,baserate,simple
