parameter,rhat,experiment,condition,model_name
"r_participant__hu[030,Intercept]",1.0003045273566527,exp1,baserate,simple
"r_participant__hu[032,Intercept]",1.0005146177935564,exp1,baserate,simple
"r_participant__hu[033,Intercept]",1.000686371883928,exp1,baserate,simple
"r_participant__hu[034,Intercept]",1.0004334192051083,exp1,baserate,simple
"r_participant__hu[035,Intercept]",1.0006707116517486,exp1,baserate,simple
"r_participant__hu[036,Intercept]",1.0003904545288498,exp1,baserate,simple
"r_participant__hu[037,Intercept]",1.0001752464047093,exp1,baserate,simple
"r_participant__hu[038,Intercept]",1.0005308728697688,exp1,baserate,simple
"r_participant__hu[039,Intercept]",1.0008670480025512,exp1,baserate,simple
"r_participant__hu[040,Intercept]",1.0004964530820362,exp1,baserate,simple
"r_participant__hu[041,Intercept]",1.0008955635161718,exp1,baserate,simple
"r_participant__hu[042,Intercept]",1.0006919913601826,exp1,baserate,simple
"r_participant__hu[043,Intercept]",1.0006142319533784,exp1,baserate,simple
"r_participant__hu[044,Intercept]",1.0006096087885992,exp1,baserate,simple
"r_participant__hu[045,Intercept]",1.0008189536667422,exp1,baserate,simple
"r_participant__hu[046,Intercept]",1.0006189555795215,exp1,baserate,simple
"r_participant__hu[047,Intercept]",1.0005420168133337,exp1,baserate,simple
"r_participant__hu[048,Intercept]",1.0006261164721757,exp1,baserate,simple
"r_participant__hu[051,Intercept]",1.0006506719137755,exp1,baserate,simple
"r_participant__hu[053,Intercept]",1.0006275687438473,exp1,baserate,simple
"r_participant__hu[054,Intercept]",1.0004736945340988,exp1,baserate,simple
"r_participant__hu[055,Intercept]",1.0004914637067137,exp1,baserate,simple
"r_participant__hu[056,Intercept]",1.000789966720507,exp1,baserate,simple
"r_participant__hu[057,Intercept]",1.0007800569568701,exp1,baserate,simple
"r_participant__hu[058,Intercept]",1.0005184785973709,exp1,baserate,simple
"r_participant__hu[059,Intercept]",1.0007296652227515,exp1,baserate,simple
"r_participant__hu[060,Intercept]",1.000789440931978,exp1,baserate,simple
"r_participant__hu[061,Intercept]",1.0006664630856605,exp1,baserate,simple
"r_participant__hu[062,Intercept]",1.0003818684617802,exp1,baserate,simple
"r_participant__hu[063,Intercept]",1.0005276536166905,exp1,baserate,simple
lprior,1.0022702935422334,exp1,baserate,simple
lp__,1.0020359558087204,exp1,baserate,simple
"z_1[1,1]",1.0041784057893346,exp1,baserate,simple
"z_1[1,2]",1.0049343289412136,exp1,baserate,simple
"z_1[1,3]",1.0029122775941262,exp1,baserate,simple
"z_1[1,4]",1.0048693731346405,exp1,baserate,simple
"z_1[1,5]",1.0052814794257265,exp1,baserate,simple
"z_1[1,6]",1.004382009469439,exp1,baserate,simple
"z_1[1,7]",1.0048704960774264,exp1,baserate,simple
"z_1[1,8]",1.0053029775956583,exp1,baserate,simple
"z_1[1,9]",1.0048345564211119,exp1,baserate,simple
"z_1[1,10]",1.0051663075301664,exp1,baserate,simple
"z_1[1,11]",1.0028627015907883,exp1,baserate,simple
"z_1[1,12]",1.0030059631459873,exp1,baserate,simple
"z_1[1,13]",1.0047655935991917,exp1,baserate,simple
"z_1[1,14]",1.0035236639317417,exp1,baserate,simple
"z_1[1,15]",1.0052366847922813,exp1,baserate,simple
"z_1[1,16]",1.0044102759496885,exp1,baserate,simple
"z_1[1,17]",1.0029906433673266,exp1,baserate,simple
"z_1[1,18]",1.0037117963373667,exp1,baserate,simple
"z_1[1,19]",1.0048293621273467,exp1,baserate,simple
"z_1[1,20]",1.0048091861528858,exp1,baserate,simple
"z_1[1,21]",1.0028714193456203,exp1,baserate,simple
"z_1[1,22]",1.003004722608024,exp1,baserate,simple
"z_1[1,23]",1.0051677038924625,exp1,baserate,simple
"z_1[1,24]",1.0023525063397247,exp1,baserate,simple
"z_1[1,25]",1.00295074046119,exp1,baserate,simple
"z_1[1,26]",1.0027939791168052,exp1,baserate,simple
"z_1[1,27]",1.0030505727464893,exp1,baserate,simple
"z_1[1,28]",1.0032304524949867,exp1,baserate,simple
"z_1[1,29]",1.0054095901861393,exp1,baserate,simple
"z_1[1,30]",1.0052027010385476,exp1,baserate,simple
"z_1[1,31]",1.0033452228087785,exp1,baserate,simple
"z_1[1,32]",1.0042602397887532,exp1,baserate,simple
"z_1[1,33]",1.0033930235573325,exp1,baserate,simple
"z_1[1,34]",1.004558510946139,exp1,baserate,simple
"z_1[1,35]",1.004468569534648,exp1,baserate,simple
"z_1[1,36]",1.0034839873098425,exp1,baserate,simple
"z_1[1,37]",1.003373615040711,exp1,baserate,simple
"z_1[1,38]",1.003965525471599,exp1,baserate,simple
"z_1[1,39]",1.0039936084090515,exp1,baserate,simple
"z_1[1,40]",1.003028517322403,exp1,baserate,simple
"z_1[1,41]",1.0036456970099978,exp1,baserate,simple
"z_1[1,42]",1.0034080172202564,exp1,baserate,simple
"z_1[1,43]",1.004844305501153,exp1,baserate,simple
"z_1[1,44]",1.0045856963470272,exp1,baserate,simple
"z_1[1,45]",1.0023441554472805,exp1,baserate,simple
"z_1[1,46]",1.0047377066046825,exp1,baserate,simple
"z_1[1,47]",1.0053929041459573,exp1,baserate,simple
"z_1[1,48]",1.0053289276516397,exp1,baserate,simple
"z_1[1,49]",1.0031029117873786,exp1,baserate,simple
"z_1[1,50]",1.0033214603919551,exp1,baserate,simple
"z_1[1,51]",1.00376921480609,exp1,baserate,simple
"z_1[1,52]",1.004089073291307,exp1,baserate,simple
"z_1[1,53]",1.0033526689292989,exp1,baserate,simple
"z_1[1,54]",1.0046813424099184,exp1,baserate,simple
"z_1[1,55]",1.0042066006830281,exp1,baserate,simple
"z_1[1,56]",1.0034161945449738,exp1,baserate,simple
"z_1[1,57]",1.0042626787377273,exp1,baserate,simple
"z_2[1,1]",1.0011742628156075,exp1,baserate,simple
"z_2[1,2]",1.0005127973325338,exp1,baserate,simple
"z_2[1,3]",1.0006205664258616,exp1,baserate,simple
"z_2[1,4]",1.0005563012523786,exp1,baserate,simple
"z_2[1,5]",1.001937033745517,exp1,baserate,simple
"z_2[1,6]",1.000437742599344,exp1,baserate,simple
"z_2[1,7]",1.0003249261861313,exp1,baserate,simple
"z_2[1,8]",1.0018184465807167,exp1,baserate,simple
"z_2[1,9]",1.000435824372267,exp1,baserate,simple
"z_2[1,10]",1.002535536391965,exp1,baserate,simple
"z_2[1,11]",1.0004838339151532,exp1,baserate,simple
"z_2[1,12]",1.002139455251116,exp1,baserate,simple
"z_2[1,13]",1.000247291954712,exp1,baserate,simple
"z_2[1,14]",1.0010982368392702,exp1,baserate,simple
"z_2[1,15]",1.0016352827221446,exp1,baserate,simple
"z_2[1,16]",1.0004932067018766,exp1,baserate,simple
"z_2[1,17]",1.0017818929338467,exp1,baserate,simple
"z_2[1,18]",1.0002283006619634,exp1,baserate,simple
"z_2[1,19]",1.0009437203660128,exp1,baserate,simple
"z_2[1,20]",1.0006798774790762,exp1,baserate,simple
"z_2[1,21]",1.0025979039219854,exp1,baserate,simple
"z_2[1,22]",1.0003560623847558,exp1,baserate,simple
