parameter,rhat,experiment,condition,model_name
"r_participant__hu[151,Intercept]",1.0020254326221036,exp2,payoff,simple
"r_participant__hu[152,Intercept]",1.0020150718671772,exp2,payoff,simple
"r_participant__hu[153,Intercept]",1.0022218121671678,exp2,payoff,simple
"r_participant__hu[154,Intercept]",1.0019168382702326,exp2,payoff,simple
"r_participant__hu[155,Intercept]",1.001338071506109,exp2,payoff,simple
"r_participant__hu[157,Intercept]",1.0022382984857552,exp2,payoff,simple
"r_participant__hu[158,Intercept]",1.001782250506365,exp2,payoff,simple
"r_participant__hu[159,Intercept]",1.0015443822143413,exp2,payoff,simple
"r_participant__hu[160,Intercept]",1.00162678621854,exp2,payoff,simple
"r_participant__hu[161,Intercept]",1.0018242931394645,exp2,payoff,simple
"r_participant__hu[162,Intercept]",1.0016377225361817,exp2,payoff,simple
"r_participant__hu[163,Intercept]",1.0018952293988357,exp2,payoff,simple
"r_participant__hu[164,Intercept]",1.0019979153408076,exp2,payoff,simple
"r_participant__hu[165,Intercept]",1.0020583156279135,exp2,payoff,simple
"r_participant__hu[166,Intercept]",1.001916680687472,exp2,payoff,simple
"r_participant__hu[167,Intercept]",1.0021749071663562,exp2,payoff,simple
"r_participant__hu[168,Intercept]",1.0020364251758611,exp2,payoff,simple
lprior,1.0047196695610774,exp2,payoff,simple
lp__,1.0017735615531822,exp2,payoff,simple
"z_1[1,1]",1.0058980701969735,exp2,payoff,simple
"z_1[1,2]",1.0060183776444573,exp2,payoff,simple
"z_1[1,3]",1.0045246110005308,exp2,payoff,simple
"z_1[1,4]",1.0045047987609077,exp2,payoff,simple
"z_1[1,5]",1.0061576222666473,exp2,payoff,simple
"z_1[1,6]",1.0021292820374885,exp2,payoff,simple
"z_1[1,7]",1.0044819795852702,exp2,payoff,simple
"z_1[1,8]",1.0048568185553048,exp2,payoff,simple
"z_1[1,9]",1.004718293612318,exp2,payoff,simple
"z_1[1,10]",1.0058565142727773,exp2,payoff,simple
"z_1[1,11]",1.0020550334632654,exp2,payoff,simple
"z_1[1,12]",1.0058293150103297,exp2,payoff,simple
"z_1[1,13]",1.005224531831315,exp2,payoff,simple
"z_1[1,14]",1.0051117281500868,exp2,payoff,simple
"z_1[1,15]",1.0049732484921505,exp2,payoff,simple
"z_1[1,16]",1.0057762506210215,exp2,payoff,simple
"z_1[1,17]",1.004889035587248,exp2,payoff,simple
"z_1[1,18]",1.0041540521348649,exp2,payoff,simple
"z_1[1,19]",1.0064010306987752,exp2,payoff,simple
"z_1[1,20]",1.002097286879852,exp2,payoff,simple
"z_1[1,21]",1.003926297088114,exp2,payoff,simple
"z_1[1,22]",1.0060870955343604,exp2,payoff,simple
"z_1[1,23]",1.0053551907068863,exp2,payoff,simple
"z_1[1,24]",1.0059779659825434,exp2,payoff,simple
"z_1[1,25]",1.0058747732273725,exp2,payoff,simple
"z_1[1,26]",1.004125425399241,exp2,payoff,simple
"z_1[1,27]",1.0046658208699104,exp2,payoff,simple
"z_1[1,28]",1.0042776829029034,exp2,payoff,simple
"z_1[1,29]",1.0043017614213772,exp2,payoff,simple
"z_1[1,30]",1.0044195826020301,exp2,payoff,simple
"z_1[1,31]",1.0049797047047293,exp2,payoff,simple
"z_1[1,32]",1.0033112324736988,exp2,payoff,simple
"z_1[1,33]",1.0058608353446379,exp2,payoff,simple
"z_1[1,34]",1.0063656106030558,exp2,payoff,simple
"z_1[1,35]",1.0048873641748288,exp2,payoff,simple
"z_1[1,36]",1.0051965370991827,exp2,payoff,simple
"z_1[1,37]",1.0036788599482351,exp2,payoff,simple
"z_1[1,38]",1.0034791257428883,exp2,payoff,simple
"z_1[1,39]",1.0053489787539087,exp2,payoff,simple
"z_1[1,40]",1.0055677639650134,exp2,payoff,simple
"z_1[1,41]",1.0033690260303563,exp2,payoff,simple
"z_1[1,42]",1.0043341431975172,exp2,payoff,simple
"z_1[1,43]",1.004905045845142,exp2,payoff,simple
"z_1[1,44]",1.0038169004713715,exp2,payoff,simple
"z_1[1,45]",1.0057632781198402,exp2,payoff,simple
"z_1[1,46]",1.0043865059131145,exp2,payoff,simple
"z_1[1,47]",1.0038583968869168,exp2,payoff,simple
"z_1[1,48]",1.0048354716863488,exp2,payoff,simple
"z_1[1,49]",1.0061015197043668,exp2,payoff,simple
"z_1[1,50]",1.0058250468479397,exp2,payoff,simple
"z_2[1,1]",1.002643202941087,exp2,payoff,simple
"z_2[1,2]",1.0013738055129286,exp2,payoff,simple
"z_2[1,3]",1.0024450093834518,exp2,payoff,simple
"z_2[1,4]",1.0026523139863301,exp2,payoff,simple
"z_2[1,5]",1.0016570067315065,exp2,payoff,simple
"z_2[1,6]",1.0014339476276988,exp2,payoff,simple
"z_2[1,7]",1.0021682995434236,exp2,payoff,simple
"z_2[1,8]",1.0021970812980892,exp2,payoff,simple
"z_2[1,9]",1.0024116998942025,exp2,payoff,simple
"z_2[1,10]",1.0015649812242593,exp2,payoff,simple
"z_2[1,11]",1.0022596308761311,exp2,payoff,simple
"z_2[1,12]",1.0021476141677177,exp2,payoff,simple
"z_2[1,13]",1.002054447379793,exp2,payoff,simple
"z_2[1,14]",1.0014141961261993,exp2,payoff,simple
"z_2[1,15]",1.0023478651254245,exp2,payoff,simple
"z_2[1,16]",1.0014500686101577,exp2,payoff,simple
"z_2[1,17]",1.0026665173206233,exp2,payoff,simple
"z_2[1,18]",1.0027348421626703,exp2,payoff,simple
"z_2[1,19]",1.0013435393767989,exp2,payoff,simple
"z_2[1,20]",1.0015133421828013,exp2,payoff,simple
"z_2[1,21]",1.0025963609449273,exp2,payoff,simple
"z_2[1,22]",1.0017284780423565,exp2,payoff,simple
"z_2[1,23]",1.0015979432856887,exp2,payoff,simple
"z_2[1,24]",1.0017233518311566,exp2,payoff,simple
"z_2[1,25]",1.0019085386229931,exp2,payoff,simple
"z_2[1,26]",1.0033842829573774,exp2,payoff,simple
"z_2[1,27]",1.0022067579235858,exp2,payoff,simple
"z_2[1,28]",1.0015426401420775,exp2,payoff,simple
"z_2[1,29]",1.0023107226081547,exp2,payoff,simple
"z_2[1,30]",1.0024783427031925,exp2,payoff,simple
"z_2[1,31]",1.0020076965099305,exp2,payoff,simple
"z_2[1,32]",1.0027604924785982,exp2,payoff,simple
"z_2[1,33]",1.0015088294439742,exp2,payoff,simple
"z_2[1,34]",1.0015389189340824,exp2,payoff,simple
"z_2[1,35]",1.0024764215353854,exp2,payoff,simple
"z_2[1,36]",1.0025419089177339,exp2,payoff,simple
"z_2[1,37]",1.002169817711203,exp2,payoff,simple
"z_2[1,38]",1.0026940669604603,exp2,payoff,simple
"z_2[1,39]",1.002456818482281,exp2,payoff,simple
"z_2[1,40]",1.001716799052375,exp2,payoff,simple
"z_2[1,41]",1.0017553477251506,exp2,payoff,simple
"z_2[1,42]",1.0025635863387314,exp2,payoff,simple
"z_2[1,43]",1.001899646844947,exp2,payoff,simple
"z_2[1,44]",1.002167988760267,exp2,payoff,simple
"z_2[1,45]",1.0025009963485065,exp2,payoff,simple
"z_2[1,46]",1.0030032411939935,exp2,payoff,simple
"z_2[1,47]",1.0024259746203747,exp2,payoff,simple
"z_2[1,48]",1.0024139900864573,exp2,payoff,simple
"z_2[1,49]",1.0016229593424448,exp2,payoff,simple
"z_2[1,50]",1.0021325645281127,exp2,payoff,simple
