parameter,rhat,experiment,condition,model_name
b_Intercept,1.0009449212845725,exp2,cue,simple
b_hu_Intercept,1.0013554334054904,exp2,cue,simple
b_stim,0.9999816858711514,exp2,cue,simple
b_hu_stim,0.9999962749270016,exp2,cue,simple
sd_participant__Intercept,1.0013305736303708,exp2,cue,simple
sd_participant__hu_Intercept,1.0004897520041276,exp2,cue,simple
sigma,0.9999896336509229,exp2,cue,simple
Intercept,1.0010506261023895,exp2,cue,simple
Intercept_hu,1.0014709265508113,exp2,cue,simple
"r_participant[065,Intercept]",1.0005525547941603,exp2,cue,simple
"r_participant[066,Intercept]",1.0004222250294181,exp2,cue,simple
"r_participant[067,Intercept]",1.0005557529704434,exp2,cue,simple
"r_participant[068,Intercept]",1.0003586741951878,exp2,cue,simple
"r_participant[069,Intercept]",1.0005055086311374,exp2,cue,simple
"r_participant[070,Intercept]",1.000491988970204,exp2,cue,simple
"r_participant[071,Intercept]",1.0004752547081122,exp2,cue,simple
"r_participant[072,Intercept]",1.000500188797184,exp2,cue,simple
"r_participant[073,Intercept]",1.0004766324320775,exp2,cue,simple
"r_participant[074,Intercept]",1.0003246892765987,exp2,cue,simple
"r_participant[075,Intercept]",1.0004396250719716,exp2,cue,simple
"r_participant[076,Intercept]",1.0005864808309983,exp2,cue,simple
"r_participant[077,Intercept]",1.0003951600005354,exp2,cue,simple
"r_participant[078,Intercept]",1.000420486418985,exp2,cue,simple
"r_participant[079,Intercept]",1.000460712017491,exp2,cue,simple
"r_participant[080,Intercept]",1.000372777160861,exp2,cue,simple
"r_participant[081,Intercept]",1.0005004432505211,exp2,cue,simple
"r_participant[082,Intercept]",1.0004390375575836,exp2,cue,simple
"r_participant[083,Intercept]",1.0004982670908964,exp2,cue,simple
"r_participant[084,Intercept]",1.0005016735278118,exp2,cue,simple
"r_participant[085,Intercept]",1.0004002915621841,exp2,cue,simple
"r_participant[086,Intercept]",1.0005663238913618,exp2,cue,simple
"r_participant[087,Intercept]",1.0003350557003952,exp2,cue,simple
"r_participant[088,Intercept]",1.000572909504743,exp2,cue,simple
"r_participant[089,Intercept]",1.000398905002075,exp2,cue,simple
"r_participant[090,Intercept]",1.0005702985091736,exp2,cue,simple
"r_participant[091,Intercept]",1.0004680840980185,exp2,cue,simple
"r_participant[092,Intercept]",1.0003081119563797,exp2,cue,simple
"r_participant[093,Intercept]",1.000257523917053,exp2,cue,simple
"r_participant[095,Intercept]",1.000516162000647,exp2,cue,simple
"r_participant[096,Intercept]",1.000317501155761,exp2,cue,simple
"r_participant[097,Intercept]",1.0005064125194862,exp2,cue,simple
"r_participant[098,Intercept]",1.0004781039545314,exp2,cue,simple
"r_participant[099,Intercept]",1.0003957440899185,exp2,cue,simple
"r_participant[100,Intercept]",1.0005094315498293,exp2,cue,simple
"r_participant[101,Intercept]",1.000497067350408,exp2,cue,simple
"r_participant[102,Intercept]",1.0004799692819155,exp2,cue,simple
"r_participant[103,Intercept]",1.0004323820737344,exp2,cue,simple
"r_participant[104,Intercept]",1.0003604330278009,exp2,cue,simple
"r_participant[105,Intercept]",1.0003637191425054,exp2,cue,simple
"r_participant[106,Intercept]",1.0004901174284313,exp2,cue,simple
"r_participant[107,Intercept]",1.0003293669306401,exp2,cue,simple
"r_participant[108,Intercept]",1.0004107775526656,exp2,cue,simple
"r_participant[109,Intercept]",1.0004444727612425,exp2,cue,simple
"r_participant[110,Intercept]",1.0003797488561212,exp2,cue,simple
"r_participant[111,Intercept]",1.0004632148369945,exp2,cue,simple
"r_participant[112,Intercept]",1.0005601227106726,exp2,cue,simple
"r_participant[113,Intercept]",1.000528242948502,exp2,cue,simple
"r_participant[114,Intercept]",1.0002641807996198,exp2,cue,simple
"r_participant[115,Intercept]",1.0006084417737018,exp2,cue,simple
"r_participant__hu[065,Intercept]",1.0004791843954688,exp2,cue,simple
"r_participant__hu[066,Intercept]",1.000395806514448,exp2,cue,simple
"r_participant__hu[067,Intercept]",1.000629638810279,exp2,cue,simple
"r_participant__hu[068,Intercept]",1.00048803841207,exp2,cue,simple
"r_participant__hu[069,Intercept]",1.0007982441479204,exp2,cue,simple
"r_participant__hu[070,Intercept]",1.0004368855369745,exp2,cue,simple
"r_participant__hu[071,Intercept]",1.0004711617959763,exp2,cue,simple
"r_participant__hu[072,Intercept]",1.0002798644473156,exp2,cue,simple
"r_participant__hu[073,Intercept]",1.0004274230402999,exp2,cue,simple
"r_participant__hu[074,Intercept]",1.0005256107131737,exp2,cue,simple
"r_participant__hu[075,Intercept]",1.0003828458320954,exp2,cue,simple
"r_participant__hu[076,Intercept]",1.0004007378515436,exp2,cue,simple
"r_participant__hu[077,Intercept]",1.0005502442954484,exp2,cue,simple
"r_participant__hu[078,Intercept]",1.0004840274843745,exp2,cue,simple
"r_participant__hu[079,Intercept]",1.0006044327598622,exp2,cue,simple
"r_participant__hu[080,Intercept]",1.0004609985847004,exp2,cue,simple
"r_participant__hu[081,Intercept]",1.0006060432220065,exp2,cue,simple
"r_participant__hu[082,Intercept]",1.0004508256666027,exp2,cue,simple
"r_participant__hu[083,Intercept]",1.0006222086385703,exp2,cue,simple
"r_participant__hu[084,Intercept]",1.0005708235678377,exp2,cue,simple
"r_participant__hu[085,Intercept]",1.0006024818157468,exp2,cue,simple
"r_participant__hu[086,Intercept]",1.0004958106257051,exp2,cue,simple
"r_participant__hu[087,Intercept]",1.0005081073691993,exp2,cue,simple
"r_participant__hu[088,Intercept]",1.000595560099051,exp2,cue,simple
"r_participant__hu[089,Intercept]",1.0004276418927225,exp2,cue,simple
"r_participant__hu[090,Intercept]",1.000567697652092,exp2,cue,simple
"r_participant__hu[091,Intercept]",1.0005382328269001,exp2,cue,simple
"r_participant__hu[092,Intercept]",1.0006345223383835,exp2,cue,simple
"r_participant__hu[093,Intercept]",1.0005780599636458,exp2,cue,simple
"r_participant__hu[095,Intercept]",1.0003012606366404,exp2,cue,simple
"r_participant__hu[096,Intercept]",1.000493848210954,exp2,cue,simple
"r_participant__hu[097,Intercept]",1.000560544053693,exp2,cue,simple
"r_participant__hu[098,Intercept]",1.0003638111647422,exp2,cue,simple
"r_participant__hu[099,Intercept]",1.0005030317842154,exp2,cue,simple
"r_participant__hu[100,Intercept]",1.0003799895426593,exp2,cue,simple
"r_participant__hu[101,Intercept]",1.0004874509338901,exp2,cue,simple
"r_participant__hu[102,Intercept]",1.0003921706456917,exp2,cue,simple
"r_participant__hu[103,Intercept]",1.0005766969382242,exp2,cue,simple
"r_participant__hu[104,Intercept]",1.0005634148347051,exp2,cue,simple
"r_participant__hu[105,Intercept]",1.0005425061006727,exp2,cue,simple
"r_participant__hu[106,Intercept]",1.0006108925447346,exp2,cue,simple
"r_participant__hu[107,Intercept]",1.000417326957404,exp2,cue,simple
"r_participant__hu[108,Intercept]",1.0003159286696612,exp2,cue,simple
"r_participant__hu[109,Intercept]",1.000466896688668,exp2,cue,simple
"r_participant__hu[110,Intercept]",1.0005440417281681,exp2,cue,simple
"r_participant__hu[111,Intercept]",1.0004720491894261,exp2,cue,simple
"r_participant__hu[112,Intercept]",1.000267019813702,exp2,cue,simple
"r_participant__hu[113,Intercept]",1.0004187282097066,exp2,cue,simple
"r_participant__hu[114,Intercept]",1.0004798876377623,exp2,cue,simple
"r_participant__hu[115,Intercept]",1.0006400201746315,exp2,cue,simple
lprior,1.001455658846568,exp2,cue,simple
lp__,1.0005733218272483,exp2,cue,simple
"z_1[1,1]",1.0003553294785081,exp2,cue,simple
"z_1[1,2]",1.000973106370218,exp2,cue,simple
"z_1[1,3]",1.0012561187326336,exp2,cue,simple
"z_1[1,4]",1.0011369712409481,exp2,cue,simple
"z_1[1,5]",1.0008020559866442,exp2,cue,simple
"z_1[1,6]",1.0011285069872178,exp2,cue,simple
"z_1[1,7]",1.0004369762851735,exp2,cue,simple
"z_1[1,8]",1.0002402379102502,exp2,cue,simple
"z_1[1,9]",1.000358274868433,exp2,cue,simple
"z_1[1,10]",1.0002510340785549,exp2,cue,simple
"z_1[1,11]",1.001212171976391,exp2,cue,simple
"z_1[1,12]",1.0004739086704604,exp2,cue,simple
"z_1[1,13]",1.0008768231118574,exp2,cue,simple
"z_1[1,14]",1.0007064668683538,exp2,cue,simple
"z_1[1,15]",1.0002259160682363,exp2,cue,simple
"z_1[1,16]",1.0002014923239704,exp2,cue,simple
"z_1[1,17]",1.0002878766380057,exp2,cue,simple
"z_1[1,18]",1.0004754540679672,exp2,cue,simple
"z_1[1,19]",1.0003655333377557,exp2,cue,simple
"z_1[1,20]",1.0013381189841657,exp2,cue,simple
"z_1[1,21]",1.0006142415368047,exp2,cue,simple
"z_1[1,22]",1.0003136012373885,exp2,cue,simple
"z_1[1,23]",1.0001593963827804,exp2,cue,simple
"z_1[1,24]",1.0003521981702834,exp2,cue,simple
"z_1[1,25]",1.0002764799276216,exp2,cue,simple
"z_1[1,26]",1.0004291769294922,exp2,cue,simple
"z_1[1,27]",1.0002393761862127,exp2,cue,simple
"z_1[1,28]",1.0002928487332827,exp2,cue,simple
"z_1[1,29]",1.0002715294331566,exp2,cue,simple
"z_1[1,30]",1.0003206037863526,exp2,cue,simple
"z_1[1,31]",1.0005067838695083,exp2,cue,simple
"z_1[1,32]",1.0002562283770842,exp2,cue,simple
"z_1[1,33]",1.0009999645510892,exp2,cue,simple
"z_1[1,34]",1.0011775025077743,exp2,cue,simple
"z_1[1,35]",1.0003613264953815,exp2,cue,simple
"z_1[1,36]",1.000474548886619,exp2,cue,simple
"z_1[1,37]",1.0006393687868287,exp2,cue,simple
"z_1[1,38]",1.0002333139530717,exp2,cue,simple
"z_1[1,39]",1.000323215696828,exp2,cue,simple
"z_1[1,40]",1.0011181659411184,exp2,cue,simple
"z_1[1,41]",1.000456385762076,exp2,cue,simple
"z_1[1,42]",1.0001647134580995,exp2,cue,simple
"z_1[1,43]",1.0001853291063725,exp2,cue,simple
"z_1[1,44]",1.001027489249302,exp2,cue,simple
"z_1[1,45]",1.000351147145493,exp2,cue,simple
"z_1[1,46]",1.000277870033826,exp2,cue,simple
"z_1[1,47]",1.0005848529302928,exp2,cue,simple
"z_1[1,48]",1.0003879286871062,exp2,cue,simple
"z_1[1,49]",1.0004922715417892,exp2,cue,simple
"z_1[1,50]",1.0007046684094398,exp2,cue,simple
"z_2[1,1]",1.0005480865243161,exp2,cue,simple
"z_2[1,2]",1.000435521393535,exp2,cue,simple
"z_2[1,3]",1.0006366206481971,exp2,cue,simple
"z_2[1,4]",1.0004975038255588,exp2,cue,simple
"z_2[1,5]",1.0006904946646262,exp2,cue,simple
"z_2[1,6]",1.0003882444592485,exp2,cue,simple
"z_2[1,7]",1.0005259762216705,exp2,cue,simple
"z_2[1,8]",1.0002748848850207,exp2,cue,simple
"z_2[1,9]",1.0004109546618207,exp2,cue,simple
"z_2[1,10]",1.0005466492712596,exp2,cue,simple
"z_2[1,11]",1.0004491960367055,exp2,cue,simple
"z_2[1,12]",1.0003910191662586,exp2,cue,simple
"z_2[1,13]",1.0005626591447412,exp2,cue,simple
"z_2[1,14]",1.000460330808651,exp2,cue,simple
"z_2[1,15]",1.0006108952833361,exp2,cue,simple
"z_2[1,16]",1.0004466548185098,exp2,cue,simple
"z_2[1,17]",1.0005708083221527,exp2,cue,simple
"z_2[1,18]",1.0004127994054899,exp2,cue,simple
"z_2[1,19]",1.000625106252115,exp2,cue,simple
"z_2[1,20]",1.0006308616773512,exp2,cue,simple
"z_2[1,21]",1.000610189740825,exp2,cue,simple
"z_2[1,22]",1.0005108902604105,exp2,cue,simple
"z_2[1,23]",1.000526770937918,exp2,cue,simple
"z_2[1,24]",1.0006018509017107,exp2,cue,simple
"z_2[1,25]",1.0004246843116666,exp2,cue,simple
"z_2[1,26]",1.000554762002478,exp2,cue,simple
"z_2[1,27]",1.0005288674425108,exp2,cue,simple
"z_2[1,28]",1.0006191836861682,exp2,cue,simple
"z_2[1,29]",1.0005766723237268,exp2,cue,simple
"z_2[1,30]",1.0002815149567457,exp2,cue,simple
"z_2[1,31]",1.0004900672307464,exp2,cue,simple
"z_2[1,32]",1.0005891733410144,exp2,cue,simple
"z_2[1,33]",1.0003622684532507,exp2,cue,simple
"z_2[1,34]",1.000541801478084,exp2,cue,simple
"z_2[1,35]",1.0003513291495583,exp2,cue,simple
"z_2[1,36]",1.0005090305695736,exp2,cue,simple
"z_2[1,37]",1.0004757543805265,exp2,cue,simple
"z_2[1,38]",1.0006372110742832,exp2,cue,simple
"z_2[1,39]",1.0005715769974577,exp2,cue,simple
"z_2[1,40]",1.0005684119883635,exp2,cue,simple
"z_2[1,41]",1.0006495734772507,exp2,cue,simple
"z_2[1,42]",1.0004232424838606,exp2,cue,simple
"z_2[1,43]",1.0003279855595222,exp2,cue,simple
"z_2[1,44]",1.0004484412731678,exp2,cue,simple
"z_2[1,45]",1.0005315636305114,exp2,cue,simple
"z_2[1,46]",1.0004793863729506,exp2,cue,simple
"z_2[1,47]",1.0002010520506517,exp2,cue,simple
"z_2[1,48]",1.0004279867472354,exp2,cue,simple
"z_2[1,49]",1.0004392470077872,exp2,cue,simple
"z_2[1,50]",1.0006124130517315,exp2,cue,simple
