parameter,rhat,experiment,condition,model_name
b_Intercept,1.0001183421942859,exp2,cue,full
b_hu_Intercept,1.000288295862032,exp2,cue,full
b_stim,1.0000417100545895,exp2,cue,full
b_condpresent,0.999982962339124,exp2,cue,full
b_stim:condpresent,0.9999817092168062,exp2,cue,full
b_hu_stim,1.0000488393322067,exp2,cue,full
b_hu_condpresent,1.0000149859759275,exp2,cue,full
b_hu_stim:condpresent,1.0001806795298023,exp2,cue,full
sd_participant__Intercept,1.0000787046407889,exp2,cue,full
sd_participant__condpresent,1.0000172043926832,exp2,cue,full
sd_participant__hu_Intercept,1.0001508836456203,exp2,cue,full
sd_participant__hu_condpresent,1.0001017784440551,exp2,cue,full
cor_participant__Intercept__condpresent,1.0001300351870754,exp2,cue,full
cor_participant__hu_Intercept__hu_condpresent,1.0003487026937476,exp2,cue,full
sigma,1.0000739273044497,exp2,cue,full
Intercept,1.0001499646743284,exp2,cue,full
Intercept_hu,1.0002675943407107,exp2,cue,full
"r_participant[065,Intercept]",1.0001137199256867,exp2,cue,full
"r_participant[066,Intercept]",1.000041679693895,exp2,cue,full
"r_participant[067,Intercept]",0.9999871956335744,exp2,cue,full
"r_participant[068,Intercept]",1.0001428093220879,exp2,cue,full
"r_participant[069,Intercept]",1.0000081608349842,exp2,cue,full
"r_participant[070,Intercept]",1.0000527207381245,exp2,cue,full
"r_participant[071,Intercept]",1.0000263240264184,exp2,cue,full
"r_participant[072,Intercept]",0.999985473223939,exp2,cue,full
"r_participant[073,Intercept]",1.0001867291581825,exp2,cue,full
"r_participant[074,Intercept]",1.0002620908053,exp2,cue,full
"r_participant[075,Intercept]",1.0002781041703575,exp2,cue,full
"r_participant[076,Intercept]",1.000010531231627,exp2,cue,full
"r_participant[077,Intercept]",1.0000509975263254,exp2,cue,full
"r_participant[078,Intercept]",0.9999874571759928,exp2,cue,full
"r_participant[079,Intercept]",1.0000347652082937,exp2,cue,full
"r_participant[080,Intercept]",1.0001648900139388,exp2,cue,full
"r_participant[081,Intercept]",1.0000446407981547,exp2,cue,full
"r_participant[082,Intercept]",1.0000697700389038,exp2,cue,full
"r_participant[083,Intercept]",1.0000099737816823,exp2,cue,full
"r_participant[084,Intercept]",1.0000766871960827,exp2,cue,full
"r_participant[085,Intercept]",1.0001627578652135,exp2,cue,full
"r_participant[086,Intercept]",1.0001448008898965,exp2,cue,full
"r_participant[087,Intercept]",1.0000540132892461,exp2,cue,full
"r_participant[088,Intercept]",0.9999363428775377,exp2,cue,full
"r_participant[089,Intercept]",1.0000266320573543,exp2,cue,full
"r_participant[090,Intercept]",1.0000392576304917,exp2,cue,full
"r_participant[091,Intercept]",1.0000730228051309,exp2,cue,full
"r_participant[092,Intercept]",0.9999881758910933,exp2,cue,full
"r_participant[093,Intercept]",1.0000713342170797,exp2,cue,full
"r_participant[095,Intercept]",0.9999889205703568,exp2,cue,full
"r_participant[096,Intercept]",1.0000356810019784,exp2,cue,full
"r_participant[097,Intercept]",1.000086505334429,exp2,cue,full
"r_participant[098,Intercept]",1.0000935769832928,exp2,cue,full
"r_participant[099,Intercept]",1.0000445952112014,exp2,cue,full
"r_participant[100,Intercept]",1.0001597652153245,exp2,cue,full
"r_participant[101,Intercept]",1.000205451311042,exp2,cue,full
"r_participant[102,Intercept]",1.000197787101572,exp2,cue,full
"r_participant[103,Intercept]",1.0000807565614591,exp2,cue,full
"r_participant[104,Intercept]",1.0002118289577264,exp2,cue,full
"r_participant[105,Intercept]",0.9999990894554223,exp2,cue,full
"r_participant[106,Intercept]",1.0001076827155777,exp2,cue,full
"r_participant[107,Intercept]",1.000208607410683,exp2,cue,full
"r_participant[108,Intercept]",1.0000397240132872,exp2,cue,full
"r_participant[109,Intercept]",1.0000725686181096,exp2,cue,full
"r_participant[110,Intercept]",1.0000264736545192,exp2,cue,full
"r_participant[111,Intercept]",1.0000965757279736,exp2,cue,full
"r_participant[112,Intercept]",1.0002348862735353,exp2,cue,full
"r_participant[113,Intercept]",1.0001227027875008,exp2,cue,full
"r_participant[114,Intercept]",0.9999969389718286,exp2,cue,full
"r_participant[115,Intercept]",0.9999974577946074,exp2,cue,full
"r_participant[065,condpresent]",1.0002159743614698,exp2,cue,full
"r_participant[066,condpresent]",1.000149475323097,exp2,cue,full
"r_participant[067,condpresent]",0.9999880048700969,exp2,cue,full
"r_participant[068,condpresent]",1.0002132528754972,exp2,cue,full
"r_participant[069,condpresent]",1.0000314393641858,exp2,cue,full
"r_participant[070,condpresent]",1.0000362416424768,exp2,cue,full
"r_participant[071,condpresent]",1.0000812894278492,exp2,cue,full
"r_participant[072,condpresent]",1.0000455626300901,exp2,cue,full
"r_participant[073,condpresent]",1.0000167355025669,exp2,cue,full
"r_participant[074,condpresent]",1.0002080831885531,exp2,cue,full
"r_participant[075,condpresent]",1.000014675677844,exp2,cue,full
"r_participant[076,condpresent]",1.000084956796895,exp2,cue,full
"r_participant[077,condpresent]",1.0001098479363562,exp2,cue,full
"r_participant[078,condpresent]",1.0000962119509667,exp2,cue,full
"r_participant[079,condpresent]",1.0000147455733388,exp2,cue,full
"r_participant[080,condpresent]",1.0000393906498242,exp2,cue,full
"r_participant[081,condpresent]",1.0001879086260945,exp2,cue,full
"r_participant[082,condpresent]",1.000036201039712,exp2,cue,full
"r_participant[083,condpresent]",1.0001207232475253,exp2,cue,full
"r_participant[084,condpresent]",1.0001515753450982,exp2,cue,full
"r_participant[085,condpresent]",1.0000435270719366,exp2,cue,full
"r_participant[086,condpresent]",1.0001013179415374,exp2,cue,full
"r_participant[087,condpresent]",0.9999707410029464,exp2,cue,full
"r_participant[088,condpresent]",1.0001242363638205,exp2,cue,full
"r_participant[089,condpresent]",1.0000686658531324,exp2,cue,full
"r_participant[090,condpresent]",0.9999478311077525,exp2,cue,full
"r_participant[091,condpresent]",1.0001360466528655,exp2,cue,full
"r_participant[092,condpresent]",0.9999929238986791,exp2,cue,full
"r_participant[093,condpresent]",1.0000605413265187,exp2,cue,full
"r_participant[095,condpresent]",0.9999722204707905,exp2,cue,full
"r_participant[096,condpresent]",0.9999889902185356,exp2,cue,full
"r_participant[097,condpresent]",1.0001854150830587,exp2,cue,full
"r_participant[098,condpresent]",0.9999636966169434,exp2,cue,full
"r_participant[099,condpresent]",0.9999948730776894,exp2,cue,full
"r_participant[100,condpresent]",1.000100518832048,exp2,cue,full
"r_participant[101,condpresent]",1.0000928587989282,exp2,cue,full
"r_participant[102,condpresent]",1.0001331768029271,exp2,cue,full
"r_participant[103,condpresent]",0.9999943084723988,exp2,cue,full
"r_participant[104,condpresent]",1.0003704354971674,exp2,cue,full
"r_participant[105,condpresent]",1.000063129299246,exp2,cue,full
"r_participant[106,condpresent]",1.0000496735274722,exp2,cue,full
"r_participant[107,condpresent]",1.0001280309854725,exp2,cue,full
"r_participant[108,condpresent]",1.0000539840342515,exp2,cue,full
"r_participant[109,condpresent]",1.0000536258167014,exp2,cue,full
"r_participant[110,condpresent]",1.000070472483574,exp2,cue,full
"r_participant[111,condpresent]",1.0000493709113074,exp2,cue,full
"r_participant[112,condpresent]",1.000067971120144,exp2,cue,full
"r_participant[113,condpresent]",1.0000211901117233,exp2,cue,full
"r_participant[114,condpresent]",0.9999789753184635,exp2,cue,full
"r_participant[115,condpresent]",1.0000252061019024,exp2,cue,full
"r_participant__hu[065,Intercept]",1.0000444014621135,exp2,cue,full
"r_participant__hu[066,Intercept]",1.0000393105957317,exp2,cue,full
"r_participant__hu[067,Intercept]",1.000057471499655,exp2,cue,full
"r_participant__hu[068,Intercept]",1.0000056184384147,exp2,cue,full
"r_participant__hu[069,Intercept]",0.9999603888627399,exp2,cue,full
"r_participant__hu[070,Intercept]",1.000070862844829,exp2,cue,full
"r_participant__hu[071,Intercept]",1.0001042626082668,exp2,cue,full
"r_participant__hu[072,Intercept]",1.0002822340782322,exp2,cue,full
"r_participant__hu[073,Intercept]",1.0000052540074758,exp2,cue,full
"r_participant__hu[074,Intercept]",1.0000047518434645,exp2,cue,full
"r_participant__hu[075,Intercept]",1.0000835657613276,exp2,cue,full
"r_participant__hu[076,Intercept]",1.0000936843999169,exp2,cue,full
"r_participant__hu[077,Intercept]",1.000081873685817,exp2,cue,full
"r_participant__hu[078,Intercept]",1.0001549999335502,exp2,cue,full
"r_participant__hu[079,Intercept]",1.0000275630447972,exp2,cue,full
"r_participant__hu[080,Intercept]",1.0001309488026342,exp2,cue,full
"r_participant__hu[081,Intercept]",1.000088377347572,exp2,cue,full
"r_participant__hu[082,Intercept]",1.000104212189966,exp2,cue,full
"r_participant__hu[083,Intercept]",1.0000346407418794,exp2,cue,full
"r_participant__hu[084,Intercept]",1.000033168478036,exp2,cue,full
"r_participant__hu[085,Intercept]",1.0001046494833725,exp2,cue,full
"r_participant__hu[086,Intercept]",1.0000405385974498,exp2,cue,full
"r_participant__hu[087,Intercept]",1.0000901872665666,exp2,cue,full
"r_participant__hu[088,Intercept]",1.000032855147775,exp2,cue,full
"r_participant__hu[089,Intercept]",1.0000907367747112,exp2,cue,full
"r_participant__hu[090,Intercept]",1.0000699524667362,exp2,cue,full
"r_participant__hu[091,Intercept]",1.0002829597259784,exp2,cue,full
