parameter,rhat,experiment,condition,model_name
"r_participant[155,Intercept]",1.0035175356554653,exp1,cue,simple
"r_participant[156,Intercept]",1.0023903545458694,exp1,cue,simple
"r_participant[157,Intercept]",1.0035542312025891,exp1,cue,simple
"r_participant[158,Intercept]",1.0028606792446915,exp1,cue,simple
"r_participant[159,Intercept]",1.0034547832956942,exp1,cue,simple
"r_participant[160,Intercept]",1.0019603123737857,exp1,cue,simple
"r_participant[161,Intercept]",1.003046810170886,exp1,cue,simple
"r_participant[162,Intercept]",1.0026154730469812,exp1,cue,simple
"r_participant[163,Intercept]",1.0027260511367777,exp1,cue,simple
"r_participant[164,Intercept]",1.0034026135446439,exp1,cue,simple
"r_participant[165,Intercept]",1.0019792935695597,exp1,cue,simple
"r_participant[166,Intercept]",1.0035267210586267,exp1,cue,simple
"r_participant[167,Intercept]",1.0028463462044135,exp1,cue,simple
"r_participant[168,Intercept]",1.0031847827894709,exp1,cue,simple
"r_participant[169,Intercept]",1.0027753485804076,exp1,cue,simple
"r_participant[170,Intercept]",1.0035271959228511,exp1,cue,simple
"r_participant__hu[065,Intercept]",1.002117830130305,exp1,cue,simple
"r_participant__hu[066,Intercept]",1.0014322612596316,exp1,cue,simple
"r_participant__hu[067,Intercept]",1.00198788789642,exp1,cue,simple
"r_participant__hu[068,Intercept]",1.0022949775430394,exp1,cue,simple
"r_participant__hu[069,Intercept]",1.0025495572303351,exp1,cue,simple
"r_participant__hu[070,Intercept]",1.0019564383063153,exp1,cue,simple
"r_participant__hu[071,Intercept]",1.00208516827346,exp1,cue,simple
"r_participant__hu[072,Intercept]",1.0017074159133315,exp1,cue,simple
"r_participant__hu[073,Intercept]",1.001809857580665,exp1,cue,simple
"r_participant__hu[074,Intercept]",1.0017463314869552,exp1,cue,simple
"r_participant__hu[075,Intercept]",1.002031064340354,exp1,cue,simple
"r_participant__hu[076,Intercept]",1.0019129324211893,exp1,cue,simple
"r_participant__hu[077,Intercept]",1.00174904889622,exp1,cue,simple
"r_participant__hu[078,Intercept]",1.0022393207708236,exp1,cue,simple
"r_participant__hu[079,Intercept]",1.0013891156647312,exp1,cue,simple
"r_participant__hu[080,Intercept]",1.0012435962348385,exp1,cue,simple
"r_participant__hu[081,Intercept]",1.0017168891350139,exp1,cue,simple
"r_participant__hu[082,Intercept]",1.0021654321714801,exp1,cue,simple
"r_participant__hu[083,Intercept]",1.002226384710576,exp1,cue,simple
"r_participant__hu[084,Intercept]",1.0022825515774594,exp1,cue,simple
"r_participant__hu[085,Intercept]",1.0019244201010844,exp1,cue,simple
"r_participant__hu[086,Intercept]",1.002112172467957,exp1,cue,simple
"r_participant__hu[087,Intercept]",1.0022428082856392,exp1,cue,simple
"r_participant__hu[088,Intercept]",1.0022873791840374,exp1,cue,simple
"r_participant__hu[089,Intercept]",1.0019636630880917,exp1,cue,simple
"r_participant__hu[090,Intercept]",1.0018267346830099,exp1,cue,simple
"r_participant__hu[091,Intercept]",1.0019149914963597,exp1,cue,simple
"r_participant__hu[092,Intercept]",1.002129065651967,exp1,cue,simple
"r_participant__hu[093,Intercept]",1.0016998150768364,exp1,cue,simple
"r_participant__hu[095,Intercept]",1.0020407169407275,exp1,cue,simple
"r_participant__hu[096,Intercept]",1.0023584740095945,exp1,cue,simple
"r_participant__hu[097,Intercept]",1.0018395936443965,exp1,cue,simple
"r_participant__hu[098,Intercept]",1.0020262287099977,exp1,cue,simple
"r_participant__hu[099,Intercept]",1.0022481590364813,exp1,cue,simple
"r_participant__hu[100,Intercept]",1.0019861280147102,exp1,cue,simple
"r_participant__hu[101,Intercept]",1.0024901150868288,exp1,cue,simple
"r_participant__hu[102,Intercept]",1.0023482002928432,exp1,cue,simple
"r_participant__hu[103,Intercept]",1.0015118049136138,exp1,cue,simple
"r_participant__hu[104,Intercept]",1.001489597743807,exp1,cue,simple
"r_participant__hu[105,Intercept]",1.0018904546967164,exp1,cue,simple
"r_participant__hu[106,Intercept]",1.0017229996732553,exp1,cue,simple
"r_participant__hu[107,Intercept]",1.0003425357893252,exp1,cue,simple
"r_participant__hu[108,Intercept]",1.001633689293453,exp1,cue,simple
"r_participant__hu[109,Intercept]",1.0019716685719962,exp1,cue,simple
"r_participant__hu[110,Intercept]",1.0019926240706738,exp1,cue,simple
"r_participant__hu[111,Intercept]",1.002374482417737,exp1,cue,simple
"r_participant__hu[112,Intercept]",1.001689481553423,exp1,cue,simple
"r_participant__hu[113,Intercept]",1.0020315787290461,exp1,cue,simple
"r_participant__hu[114,Intercept]",1.0022602207375222,exp1,cue,simple
"r_participant__hu[115,Intercept]",1.0017795739949367,exp1,cue,simple
"r_participant__hu[116,Intercept]",1.002213412212022,exp1,cue,simple
"r_participant__hu[117,Intercept]",1.0022745974009188,exp1,cue,simple
"r_participant__hu[118,Intercept]",1.0021240501447761,exp1,cue,simple
"r_participant__hu[119,Intercept]",1.0020510344907356,exp1,cue,simple
"r_participant__hu[120,Intercept]",1.0021539298275293,exp1,cue,simple
"r_participant__hu[121,Intercept]",1.002166114852737,exp1,cue,simple
"r_participant__hu[122,Intercept]",1.0020666166805325,exp1,cue,simple
"r_participant__hu[123,Intercept]",1.0021461238409815,exp1,cue,simple
"r_participant__hu[124,Intercept]",1.0019980036920142,exp1,cue,simple
"r_participant__hu[125,Intercept]",1.0019226114922177,exp1,cue,simple
"r_participant__hu[126,Intercept]",1.002159873634949,exp1,cue,simple
"r_participant__hu[127,Intercept]",1.0015563996144141,exp1,cue,simple
